developer,count
"Talawa Games",1
"Spooky Squid Games Inc.",1
"Kyle Pulver",1
"Tequila Works, S.L.",1
"Sector3 Studios",1
"Black Market Games",1
Chucklefish,1
"Fishlabs Entertainment GmbH",1
"Qooc Software",1
"XII Games",1
"Star Gem Inc.",1
"Turtle Cream",1
devCAT,1
"Cloud 9 Studio",1
"Ubisoft Paris;Red Storm Entertainment",1
"Subset Games",1
"Crankshaft Games",1
"New Star Games",1
"Overhaul Games",1
"BitSits Games",1
"Engient, Inc",1
IPACS,1
"SuperVillain Studios",1
773,1
Aspyr,1
"SNK Games;Elemental Games;Katauri Interactive",1
"Edmund McMillen;Tyler Glaiel",1
"Aleksey Abramenko",1
"Lukewarm Media",1
"Ratloop Asia",1
stealth.gg,1
"Noumena Studios",1
"Benjamin Rivers Inc.",1
"Okugi Studio",1
"ASK Homework",1
"Naddic Games",1
"I-deal Games",1
Kukouri,1
"Camel101 LLC",1
Nexon,1
"Big Ant Studios",1
"Rubicon Development",1
"Cyanide Studio - Spiders Studios",1
"Slipgate Ironworksâ„¢",1
Dreampainters,1
"2x2 Games",1
"Level Up Labs, LLC",1
"OVERKILL - a Starbreeze Studio.",1
"Shiver Games",1
"Dennaton Games",1
"Torn Banner Studios",1
"Ed Key and David Kanaga",1
"Transhuman Design",1
"Alexander Bruce",1
"Crate Entertainment",1
SkyGoblin,1
"Redlynx Ltd;Ubisoft  ShanghaÃ¯",1
Squad,1
"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai",1
"Serious Brew",1
"Bithell Games",1
"Exor Studios",1
"Sos Sosowski",1
"Xavi Canal, Ben Palgi",1
"Rudolf Kremers & Alex May;Tuna",1
"Tomorrow Corporation",1
"Skybox Labs;Hidden Path Entertainment;Ensemble Studios;Forgotten Empires",1
"Galactic Cafe",1
"Neko Entertainment",1
"Red Fly Studio",1
"Abbey Games",1
"New World Interactive",1
"SNK CORPORATION",1
CSR-Studios,1
"Dambuster Studios",1
"Zeptolab UK Limited",1
"BlackMark Studio",1
"Avatar Creations",1
"][ Games Inc",1
ioneo,1
"Team Psykskallar",1
"Ankama Games",1
"Eagle Dynamics SA",1
"Goldhawk Interactive",1
"Blackbird Interactive",1
"No More Room in Hell Team",1
"Compulsion Games",1
"Young Horses",1
"Robotronic Games",1
Virtuos,1
"Polytron Corporation",1
Megadev,1
"Starbreeze Studios AB",1
"General Arcade",1
"Puny Human",1
Ascaron,1
"Sven Co-op Team",1
Codemasters,1
"QCF Design",1
"Radial Games Corp;Dejobaan Games, LLC",1
"Wormwood Studios",1
"Minority Media Inc.",1
"Badland Studio",1
"Tiger Style",1
"Artifice Studio",1
"Tragnarion Studios",1
EightyEightGames,1
"SEGA Studios Australia;Feral Interactive (Mac)",1
"Croteam;Alligator Pit",1
"Sauropod Studio",1
"RETO MOTO",1
"DONTNOD Entertainment",1
"Double Fine Productions;Shiny Shoe",1
17-BIT,1
"Iron Galaxy Studios",1
"Cube Roots",1
HyperSloth,1
FarmerGnome,1
"Going Loud Studios",1
"Iron Tower Studio",1
"Colin Northway with art by Thomas Shahan",1
"Brightrock Games",1
"Metanet Software Inc.",1
"Giant Army",1
"Spicy Horse",1
"Geniaware Srl",1
NIGORO,1
"Internal Games",1
Threaks,1
"Focus Home Interactive",1
"Olli Harjola, Otto Hantula, Tom Jubert, Carlo Castellano",1
"Cardboard Computer",1
"Relic Entertainment;Feral Interactive (Mac);Feral Interactive (Linux)",1
"Snowbird Games",1
Fullbright,1
"Halycon Media GmbH & Co. KG",1
"Kuno Interactive",1
"Mighty Rocket Studio",1
"Locked Door Puzzle",1
"Geoff Keighley",1
"Shiro Games",1
"Eric Chahi;DotEmu",1
Refract,1
"Bossa Studios",1
"Lo-Fi Games",1
@unepic_fran,1
"MercurySteam - Climax Studios",1
"Avalanche Studios;Feral Interactive (Mac);Feral Interactive (Linux)",1
"Crocodile Entertainment",1
"Demiurge Studios",1
"Test3 Projects",1
"XYLA Entertainment",1
"Harebrained Schemes",1
"CyberConnect2 Co. Ltd.",1
Treexy,1
"Sean Han Tani;Marina Kittaka",1
"The Story Mechanics",1
"Point Five Projects",1
"Double Helix Games;Capcom",1
PlatinumGames,1
"Laboratory Systems",1
"Ubisoft Toronto",1
"Alexey Bokulev;Snowbird Games",1
Ludochip,1
"Dylan Fitterer",1
I-Illusions,1
"Swing Swing Submarine",1
"55 Revolver",1
"Humble Hearts LLC",1
"L3O Interactive",1
"March Entertainment",1
"Zero Point Software",1
"FromSoftware, Inc",1
"Mine Loader Software Co., Ltd.",1
"BANDAI NAMCO Studio Inc.",1
"Brain Slap Studio",1
"Serellan LLC",1
KOG,1
"Logic Artists",1
"Crafty Studios",1
"FreakZone Games",1
"Red Thread Games",1
"Pathea Games",1
"Idea Factory",1
"Eidos Montreal;Feral Interactive (Mac)",1
"Interceptor Entertainment",1
"Irrational Games;Looking Glass Studios",1
"Handyman Studios",1
"FarSight Studios",1
"Red Barrels",1
"Monochrome, Inc",1
"Andrew Morrish",1
Team2Bit,1
"Games Distillery s.r.o.",1
"Grinding Gear Games",1
"Lucas Pope",1
Crackshell,1
Teknopants,1
"Eidos-MontrÃ©al;Feral Interactive (Mac)",1
"The Chinese Room",1
MercurySteam,1
"Toxic Games",1
"NAMCO BANDAI Games",1
"Ian Campbell",1
"Greenheart Games",1
"DoubleBear Productions",1
"Panzar Studio",1
"Bennett Foddy",1
"Conifer Games",1
"Game Dev Castle",1
"Ivory Tower in collaboration with Ubisoft Reflections",1
"Cellar Door Games",1
"Exato Games Studio",1
TimeSymmetry,1
"Abstraction Games;The Bitmap Brothers",1
"Full Control Studios",1
"NetherRealm Studios;High Voltage Software",1
"Masangsoft, Inc.",1
"Endnight Games Ltd",1
"Phoenix Online Studios",1
"Carlsen Games",1
"Indomitus Games",1
"M2H;Blackmill Games",1
"Shining Rock Software LLC",1
"Quantic Dream",1
"Blackpowder Games",1
Untame,1
