categories,count,average,median
"Single-player;Co-op;Steam Achievements;Partial Controller Support",2,198,221
"Single-player;Co-op;Steam Achievements;Partial Controller Support;Stats;Steam Leaderboards",2,97,97
"Multi-player;Steam Cloud",2,175,175
"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards",2,207,220
"Single-player;Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards",2,105,105
"Single-player;Multi-player;Co-op;Steam Achievements;Steam Leaderboards",2,331,350
"Single-player;Local Co-op;Shared/Split Screen;Partial Controller Support;Steam Cloud",2,196,294
"Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards",2,731,1342
"Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Includes level editor",2,82,117
"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards",2,316,433
"Single-player;Multi-player;Steam Trading Cards;Steam Cloud;Includes level editor",2,720,848
"Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor",2,2228,3529
"Single-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards",2,600,600
"Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Valve Anti-Cheat enabled",2,2672,517
"Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Steam Leaderboards",2,312,362
"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards",2,533,533
"Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud",2,1813,2350
"Single-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud",2,2283,1654
"Single-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud",2,3528,1391
"Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards",2,572,858
"Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Stats",2,72,101
"Single-player;Steam Achievements;Steam Trading Cards;Stats",2,924,983
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support",2,33,33
"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support",2,247,247
"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud",2,932,1552
"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud",2,7415,4177
"Single-player;Multi-player;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards",2,1329,1329
"Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards",2,773,773
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards",2,466,280
"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud",2,5786,2041
"Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats",2,309,390
"Single-player;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Leaderboards",2,31,31
"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud",2,988,783
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud",2,43,62
"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards",2,1335,713
"Single-player;Steam Achievements;Steam Workshop;Includes level editor",2,316,364
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Leaderboards;Includes level editor",2,731,1110
"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards",2,516,574
"Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor",2,373,479
"Single-player;Steam Achievements;Captions available;Partial Controller Support;Steam Cloud",2,1194,1298
"Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer",2,74,74
"Single-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards",2,463,613
"Multi-player;MMO;Steam Achievements;Steam Trading Cards",2,2527,1355
