categories,count,average,median
"Single-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards;Includes level editor",1,585,480
"Single-player;Steam Achievements;Full controller support;Steam Workshop;Includes level editor",1,6,6
"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards;Commentary available",1,97,118
"Multi-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Includes level editor",1,0,0
"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards",1,332,531
"Single-player;Local Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor",1,326,290
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Stats;Steam Leaderboards;Includes level editor",1,130,130
"Single-player;Multi-player;MMO;Valve Anti-Cheat enabled",1,257,291
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud",1,182,306
"Single-player;Multi-player;MMO;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Leaderboards",1,0,0
"Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards",1,0,0
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;VR Support;Steam Cloud",1,130,130
"Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Stats",1,57,58
"Single-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases;Steam Cloud;Includes level editor",1,130,42
"Single-player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor",1,366,483
"Multi-player;Co-op;Steam Achievements;Full controller support",1,22,22
"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud",1,648,295
"Single-player;Multi-player;MMO;Co-op;Online Co-op",1,0,0
"Multi-player;MMO;Cross-Platform Multiplayer;Steam Cloud",1,38,38
"Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Steam Cloud;Stats",1,112,138
"Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards",1,379,379
"MMO;Steam Achievements;Steam Trading Cards;Includes level editor",1,31,31
"Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor",1,283,300
"Single-player;Steam Achievements;Full controller support;Steam Cloud;Stats",1,72,72
"Single-player;Multi-player;Shared/Split Screen;Full controller support;Steam Trading Cards;Captions available",1,0,0
"Single-player;Local Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud",1,501,611
"Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Partial Controller Support;Steam Cloud;Steam Leaderboards",1,188,249
"Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support",1,450,872
"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Stats;Steam Leaderboards;Steam Turn Notifications",1,0,0
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Includes level editor",1,0,0
"Single-player;Multi-player;Online Multi-Player;In-App Purchases",1,0,0
"Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats",1,337,340
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards",1,0,0
"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Includes level editor",1,2953,574
"Single-player;Steam Achievements;Full controller support;Steam Cloud;Includes level editor",1,0,0
"Single-player;Steam Achievements;Steam Workshop;In-App Purchases;Partial Controller Support;Includes level editor",1,0,0
"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;VR Support;Includes level editor",1,693,1352
"Single-player;Online Multi-Player;MMO;Online Co-op",1,10,10
"Single-player;Steam Achievements;Steam Trading Cards;Captions available;Partial Controller Support;Steam Cloud;Steam Leaderboards",1,294,295
"Multi-player;Partial Controller Support",1,0,0
"Single-player;Steam Achievements;Steam Workshop;Steam Cloud;Stats",1,3,3
"Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards",1,0,0
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats",1,1244,1244
"Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats",1,9352,2234
"Single-player;Full controller support;Includes level editor",1,7999,7999
"Single-player;Steam Achievements;Steam Trading Cards;VR Support;Steam Workshop;Partial Controller Support;Includes level editor",1,0,0
"Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards",1,1139,1796
"Multi-player;Co-op;Cross-Platform Multiplayer",1,43074,86148
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards;Includes level editor",1,0,0
"Single-player;Co-op;Online Co-op;Cross-Platform Multiplayer;Partial Controller Support",1,1159,1446
"Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats",1,5825,1462
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Steam Leaderboards;Includes level editor",1,172,219
"Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats;Includes level editor",1,430,430
"Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Stats;Includes level editor",1,377,376
"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Steam Trading Cards;Steam Workshop",1,644,1259
"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats;Steam Leaderboards",1,432,432
"Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards",1,0,0
"Includes level editor",1,198,383
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Stats",1,247,247
"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements",1,192,263
"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Leaderboards",1,273,273
"Shared/Split Screen;Steam Trading Cards;Partial Controller Support",1,8,8
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards;Includes level editor",1,48,78
"Single-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Trading Cards;Steam Cloud",1,255,267
"Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Trading Cards;Steam Cloud;Includes level editor",1,342,332
"Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Trading Cards;Steam Cloud",1,254,291
"Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer;Steam Trading Cards;Steam Cloud;Includes level editor",1,290,303
"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;VR Support;Steam Workshop;Partial Controller Support;Stats;Steam Leaderboards;Includes level editor",1,2902,2902
"Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;In-App Purchases",1,244,244
"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards",1,1047,1047
"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Steam Leaderboards",1,1073,938
"Single-player;Multi-player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards",1,228,417
"Steam Achievements;Steam Trading Cards;Steam Cloud;Commentary available",1,186,221
"Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats",1,1986,1986
"Single-player;Steam Trading Cards;Steam Workshop;Includes level editor",1,269,269
"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards",1,0,0
"Single-player;Steam Achievements;Steam Trading Cards;Captions available",1,1,1
"Single-player;Cross-Platform Multiplayer;Full controller support",1,49,63
"Single-player;Multi-player;Online Multi-Player;MMO;Cross-Platform Multiplayer;In-App Purchases",1,153,170
"Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Stats;Includes level editor",1,207,286
"Single-player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud",1,0,0
"Single-player;Local Multi-Player;Local Co-op;Steam Achievements;Full controller support;Steam Trading Cards",1,275,354
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Steam Leaderboards",1,231,402
"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards",1,152,196
"Single-player;Shared/Split Screen;Steam Trading Cards;Steam Cloud",1,282,273
"Single-player;Steam Achievements;Steam Cloud;Commentary available",1,13,13
